time	V(n001)	I(R2)
0.000000000000000e+00	6.342839e-26	3.338336e-27
1.047072078654159e-09	-6.853569e-22	-3.607142e-23
2.094144157308318e-09	-3.097163e-22	-1.630086e-23
3.141216235962477e-09	1.126985e-21	5.931500e-23
4.188288314616636e-09	3.624747e-21	1.907762e-22
5.235360393270796e-09	7.183571e-21	3.780827e-22
6.282432471924954e-09	1.180345e-20	6.212345e-22
7.329504550579112e-09	1.748440e-20	9.202316e-22
1.467297984612075e-08	4.251118e-19	2.237431e-20
1.863927521396430e-08	1.130997e-18	5.952617e-20
2.354877665047308e-08	2.520206e-18	1.326424e-19
2.939442089589324e-08	4.401514e-18	2.316586e-19
3.465227144691561e-08	5.616287e-18	2.955940e-19
3.688127288000767e-08	5.846997e-18	3.077367e-19
3.884343234684242e-08	5.947957e-18	3.130504e-19
4.034839282818215e-08	5.982056e-18	3.148451e-19
4.216654955550910e-08	6.013297e-18	3.164893e-19
4.396372426906025e-08	6.099126e-18	3.210066e-19
4.755807369616255e-08	6.526003e-18	3.434738e-19
5.503129429538097e-08	9.244722e-18	4.865643e-19
5.891166231673084e-08	1.181671e-17	6.219320e-19
6.375984300335475e-08	1.577588e-17	8.303096e-19
6.910816534490029e-08	2.017980e-17	1.062095e-18
7.688734302341777e-08	2.394671e-17	1.260353e-18
7.897955130598833e-08	2.426606e-17	1.277161e-18
8.205376697396588e-08	2.444500e-17	1.286579e-18
8.365670980286531e-08	2.455549e-17	1.292394e-18
8.686259546066419e-08	2.509599e-17	1.320842e-18
9.414399204548354e-08	2.907507e-17	1.530267e-18
9.804308602740486e-08	3.313438e-17	1.743915e-18
1.025286614427811e-07	3.905254e-17	2.055397e-18
1.074324250646898e-07	4.586185e-17	2.413781e-18
1.110304861425877e-07	5.027156e-17	2.645871e-18
1.162330873891851e-07	5.426058e-17	2.855820e-18
1.185423704995603e-07	5.507449e-17	2.898658e-18
1.204841036078807e-07	5.543265e-17	2.917508e-18
1.220149799083850e-07	5.558135e-17	2.925334e-18
1.238443396235889e-07	5.573939e-17	2.933652e-18
1.258996024798698e-07	5.610313e-17	2.952796e-18
1.291071776894179e-07	5.737097e-17	3.019525e-18
1.365609512703581e-07	6.497528e-17	3.419751e-18
1.406614307057698e-07	7.195474e-17	3.787092e-18
1.452993661521844e-07	8.087501e-17	4.256579e-18
1.509377394775002e-07	9.116028e-17	4.797909e-18
1.586425253690709e-07	9.894809e-17	5.207794e-18
1.607194154666244e-07	9.963660e-17	5.244031e-18
1.639195752362924e-07	1.001208e-16	5.269516e-18
1.655295684051726e-07	1.004292e-16	5.285748e-18
1.687495547429329e-07	1.017348e-16	5.354464e-18
1.760590057839904e-07	1.101669e-16	5.798258e-18
1.799779908382332e-07	1.181841e-16	6.220217e-18
1.845113357318509e-07	1.293390e-16	6.807315e-18
1.895069258828345e-07	1.417251e-16	7.459218e-18
1.927970680650343e-07	1.486765e-16	7.825081e-18
1.980855735785489e-07	1.555314e-16	8.185863e-18
2.003681554809991e-07	1.569113e-16	8.258492e-18
2.022788814023284e-07	1.575520e-16	8.292211e-18
2.038250734639455e-07	1.578674e-16	8.308811e-18
2.056421912798359e-07	1.582535e-16	8.329134e-18
2.082156986788088e-07	1.592978e-16	8.384096e-18
2.116039237710196e-07	1.621267e-16	8.532984e-18
2.192746475197359e-07	1.767885e-16	9.304656e-18
2.235015383673388e-07	1.890790e-16	9.951528e-18
2.283034638867408e-07	2.036665e-16	1.071929e-17
2.340721000747779e-07	2.188918e-16	1.152062e-17
2.394041619800621e-07	2.273278e-16	1.196462e-17
2.415690810223409e-07	2.288076e-16	1.204250e-17
2.434746953554367e-07	2.295668e-16	1.208246e-17
2.450219610802987e-07	2.299773e-16	1.210407e-17
2.468134341419286e-07	2.305553e-16	1.213449e-17
2.501139216897879e-07	2.326107e-16	1.224267e-17
2.575870490582111e-07	2.453549e-16	1.291342e-17
2.615958316089672e-07	2.575054e-16	1.355292e-17
2.660332999561775e-07	2.735281e-16	1.439621e-17
2.710689669233464e-07	2.917655e-16	1.535608e-17
