time	V(n001)
0.000000000000000e+00	-8.053694e-16
1.047072078669939e-09	-8.053701e-16
2.094144157339877e-09	-8.053697e-16
3.141216236009816e-09	-8.053683e-16
4.188288314679754e-09	-8.053658e-16
5.235360393349693e-09	-8.053622e-16
6.282432472019632e-09	-8.053576e-16
7.329504550689568e-09	-8.053519e-16
1.467297984635837e-08	-8.049444e-16
1.863927521414244e-08	-8.042385e-16
2.354877665071619e-08	-8.028492e-16
2.939442089619789e-08	-8.009679e-16
3.465227144706800e-08	-7.997531e-16
3.688127288007205e-08	-7.995224e-16
3.884343234683944e-08	-7.994214e-16
4.034839282807708e-08	-7.993874e-16
4.216654955533511e-08	-7.993561e-16
4.396372426801374e-08	-7.992703e-16
4.755807369337099e-08	-7.988434e-16
5.503129429169729e-08	-7.961247e-16
5.891166231331380e-08	-7.935527e-16
6.375984299873148e-08	-7.895935e-16
6.910816533881636e-08	-7.851896e-16
7.688734301957940e-08	-7.814227e-16
7.897955130259252e-08	-7.811033e-16
8.205376696962737e-08	-7.809244e-16
8.365670979797725e-08	-7.808139e-16
8.686259545467703e-08	-7.802734e-16
9.414399203888322e-08	-7.762944e-16
9.804308602072502e-08	-7.722351e-16
1.025286614350424e-07	-7.663169e-16
1.074324250557139e-07	-7.595076e-16
1.110304861433783e-07	-7.550978e-16
1.162330873855751e-07	-7.511088e-16
1.185423704963308e-07	-7.502949e-16
1.204841036052337e-07	-7.499368e-16
1.220149799055020e-07	-7.497881e-16
1.238443396209584e-07	-7.496300e-16
1.258996024707889e-07	-7.492663e-16
1.291071776815100e-07	-7.479984e-16
1.365609512604497e-07	-7.403941e-16
1.406614306931017e-07	-7.334146e-16
1.452993661395036e-07	-7.244944e-16
1.509377394551929e-07	-7.142091e-16
1.586425253535472e-07	-7.064213e-16
1.607194154523324e-07	-7.057328e-16
1.639195752114073e-07	-7.052486e-16
1.655295683802908e-07	-7.049402e-16
1.687495547180577e-07	-7.036346e-16
1.760590057585820e-07	-6.952025e-16
1.799779908115217e-07	-6.871852e-16
1.845113357019103e-07	-6.760304e-16
1.895069258457487e-07	-6.636442e-16
1.927970680408662e-07	-6.566928e-16
1.980855735559490e-07	-6.498380e-16
2.003681554607972e-07	-6.484580e-16
2.022788813850287e-07	-6.478174e-16
2.038250734475637e-07	-6.475019e-16
2.056421912659142e-07	-6.471158e-16
2.082156986307999e-07	-6.460715e-16
2.116039236968237e-07	-6.432426e-16
2.192746474300609e-07	-6.285809e-16
2.235015382749995e-07	-6.162903e-16
2.283034637741670e-07	-6.017028e-16
2.340721001582664e-07	-5.864775e-16
2.394041620855015e-07	-5.780415e-16
2.415690811090735e-07	-5.765617e-16
2.434746954324527e-07	-5.758025e-16
2.450219611517576e-07	-5.753920e-16
2.468134342026148e-07	-5.748140e-16
2.501139218982448e-07	-5.727586e-16
2.575870492804433e-07	-5.600144e-16
2.615958317624733e-07	-5.478639e-16
2.660333002013764e-07	-5.318412e-16
2.710689671374976e-07	-5.136037e-16
2.743958363957170e-07	-5.033418e-16
2.797193213685346e-07	-4.931397e-16
2.820202436483140e-07	-4.909986e-16
2.839617197277663e-07	-4.899379e-16
2.855610199080518e-07	-4.893637e-16
2.874235046498396e-07	-4.886588e-16
2.901590395909817e-07	-4.868254e-16
3.014027582615198e-07	-4.604785e-16
3.056652585673238e-07	-4.429859e-16
3.105559274080270e-07	-4.223849e-16
3.154613452183729e-07	-4.045328e-16
3.207026734165190e-07	-3.928066e-16
3.229530635814031e-07	-3.904222e-16
3.249124919189199e-07	-3.891564e-16
3.265258885259871e-07	-3.884376e-16
3.283913910924567e-07	-3.875106e-16
3.314665922115607e-07	-3.847677e-16
3.390054699587248e-07	-3.676932e-16
3.431863064646133e-07	-3.507751e-16
3.474657613167244e-07	-3.303031e-16
3.526330537475880e-07	-3.055781e-16
3.561556887214635e-07	-2.912489e-16
3.613615598525511e-07	-2.780442e-16
