time	V(n001)	I(R2)
0.000000000000000e+00	-8.053694e-16	0.000
72078669939e-09	-8.053701e-16	0.000
44157339877e-09	-8.053697e-16	0.000
16236009816e-09	-8.053683e-16	0.000
88314679754e-09	-8.053658e-16	0.000
60393349693e-09	-8.053622e-16	0.000
32472019632e-09	-8.053576e-16	0.000
04550689568e-09	-8.053519e-16	0.000
97984635837e-08	-8.049444e-16	0.000
27521414244e-08	-8.042385e-16	0.000
77665071619e-08	-8.028492e-16	0.000
42089619789e-08	-8.009679e-16	0.000
27144706800e-08	-7.997531e-16	0.000
27288007205e-08	-7.995224e-16	0.000
43234683944e-08	-7.994214e-16	0.000
39282807708e-08	-7.993874e-16	0.000
54955533511e-08	-7.993561e-16	0.000
72426801374e-08	-7.992703e-16	0.000
07369337099e-08	-7.988434e-16	0.000
29429169729e-08	-7.961247e-16	0.000
66231331380e-08	-7.935527e-16	0.000
84299873148e-08	-7.895935e-16	0.000
16533881636e-08	-7.851896e-16	0.000
34301957940e-08	-7.814227e-16	0.000
55130259252e-08	-7.811033e-16	0.000
76696962737e-08	-7.809244e-16	0.000
70979797725e-08	-7.808139e-16	0.000
59545467703e-08	-7.802734e-16	0.000
99203888322e-08	-7.762944e-16	0.000
08602072502e-08	-7.722351e-16	0.000
86614350424e-07	-7.663169e-16	0.000
24250557139e-07	-7.595076e-16	0.000
04861433783e-07	-7.550978e-16	0.000
30873855751e-07	-7.511088e-16	0.000
23704963308e-07	-7.502949e-16	0.000
41036052337e-07	-7.499368e-16	0.000
49799055020e-07	-7.497881e-16	0.000
43396209584e-07	-7.496300e-16	0.000
96024707889e-07	-7.492663e-16	0.000
71776815100e-07	-7.479984e-16	0.000
09512604497e-07	-7.403941e-16	0.000
14306931017e-07	-7.334146e-16	0.000
93661395036e-07	-7.244944e-16	0.000
77394551929e-07	-7.142091e-16	0.000
25253535472e-07	-7.064213e-16	0.000
94154523324e-07	-7.057328e-16	0.000
95752114073e-07	-7.052486e-16	0.000
95683802908e-07	-7.049402e-16	0.000
95547180577e-07	-7.036346e-16	0.000
90057585820e-07	-6.952025e-16	0.000
79908115217e-07	-6.871852e-16	0.000
13357019103e-07	-6.760304e-16	0.000
